Employee ID,Name,Date,Time In,Time Out
SFK001,Rowan Sam,2025-04-23,11:33 AM,
SFK001,Rowan Sam,2025-04-23,11:32 AM,
SFK001,Rowan Sam,2025-04-23,11:32 AM,
SFK001,Rowan Sam,2025-04-23,11:30 AM,
SFK002,Brenda Nelson,2025-04-23,11:30 AM,
SFK001,Rowan Sam,2025-04-23,11:29 AM,
SFK002,Brenda Nelson,2025-04-23,11:26 AM,
SFK002,Brenda Nelson,2025-04-23,11:13 AM,11:17 AM
SFK001,Rowan Sam,2025-04-23,11:12 AM,11:17 AM
SFK000,Kevin Omondi,2025-04-22,03:42 PM,03:42 PM
EMP123,Kevin Smith,2025-04-22,08:00 AM,
SFK000,Kevin Omondi,2025-04-22,08:00 AM,
SFK008,Omondi Timon,2025-04-30,14:18:18,
SFK999,Sosi Momanyi,2025-04-30,12:48:06,
SFK1000,Kanye West,2025-04-30,09:53:04,12:46:01
SFK099,Bob Marley,2025-04-30,09:52:21,14:16:58
SFK999,Sosi Momanyi,2025-04-30,09:23:17,12:47:34
SFK009,Omondi Timon Jr.,2025-04-30,09:21:29,
SFK008,Omondi Timon,2025-04-30,09:19:59,14:17:34
SFK006,Franklin Saint,2025-04-30,09:19:30,14:19:40
SFK002,Brenda Nelson,2025-04-30,09:19:04,14:20:19
SFK001,Rowan Sam,2025-04-30,09:18:43,
SFK000,Kevin Omondi Jr.,2025-04-30,09:18:17,
SFK001,Rowan Sam,2025-04-28,16:53:15,16:53:45
SFK002,Brenda Nelson,2025-04-28,16:51:13,16:51:52
SFK000,Kevin Omondi Jr.,2025-04-28,16:45:53,16:47:37
